sample_uid	C1d/C1-C1mt-C42.2-C3cg-C1b-C3cw	C1d/C42.2/C1/C3cg-C1b-C3cw-C45c-C115k	C1d-C42.2-C1-C1k-C1b-C3cg	C1d-C1mt-C1nq-C42.2-C1	C1d-C1mt-C42a-C42.2-C1	C1d-C42.2-C1-C1bi	C1d-C42.2-C1-C1b-C3cg-C3cw	C1d-C42.2-C1-C1b-C3cg-C3cw-C45c	C1d-C1mt-C42.2-C1-C3cg-C1b	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C42a/C42.2/C1/C1b-C1j-C1au-C3	C1d-C1mt-C42.2-C1-C3cg	C42a/C42.2-C1-C42ak-C1b-C42al	C1d-C42.2-C1-C1nr	C42a/C42.2-C1-C1b-C42ak-C1j	D1-D1as-D1ba-D1bb-D4-D1at-D6-D1ax-D1dy-D1ea	D1-D1at-D1as-D1ba-D2a-D4-D6	D1-D1as-D1at-D6-D4-D1bb-D1ba-D1bd	D1/D1bb-D1as-D1at-D4-D1ba-D6-D1bg-D1ax	D1-D1as-D1at-D4-D6-D1ba-D1ax-D1bb	D1/D1bb-D1as-D1bg-D1at-D1ba-D6-D4	D1-D1at-D1as-D1bc-D1bg-D6-D1bb-D4
156763	0	0	0	0	0	6883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241
156800	0	0	0	0	0	6124	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0
156808	0	0	0	0	0	0	5082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156876	0	0	0	0	0	0	2115	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0
156771	0	0	0	0	0	0	0	5414	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156807	0	0	0	0	0	0	0	8508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156782	0	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	0	0
156813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4836	0	0
156873	0	0	0	0	0	0	0	0	0	6471	0	0	0	0	0	0	0	0	0	0	0	0
156797	0	0	0	0	0	0	0	0	0	0	7173	0	0	0	0	663	0	0	0	0	0	0
156788	0	0	0	0	0	0	0	0	0	0	0	0	4134	0	0	2965	0	0	0	0	0	0
156878	0	0	0	0	0	0	0	0	0	0	0	0	0	5879	0	0	0	0	0	0	0	0
156766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2850	2324	0	0	0	0	0	0
156892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
